pair_id,speaker_a,speaker_b,event_a,event_b,audio_a,audio_b,label,similarity
pair_0021,id10017,id10583,Px9R6A3XKDM,Worxr8OXuQI,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\Px9R6A3XKDM\00004.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\Worxr8OXuQI\00011.wav,0,0.8669679760932922
pair_0022,id10018,id10018,8WVqEfbZ4Ic,wyaUcxpHOQs,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\8WVqEfbZ4Ic\00014.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\wyaUcxpHOQs\00001.wav,1,0.9546976685523987
pair_0023,id11130,id11130,Zgl6gxMr9x0,RNKUA8EGl20,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\Zgl6gxMr9x0\00011.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\RNKUA8EGl20\00003.wav,1,0.9803011417388916
pair_0024,id10018,id10003,TIFdSOTYIBg,FfmnkloV_zg,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\TIFdSOTYIBg\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\FfmnkloV_zg\00001.wav,0,0.9253298044204712
pair_0025,id10393,id11130,dTOyxqXd_5M,RNKUA8EGl20,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\dTOyxqXd_5M\00007.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\RNKUA8EGl20\00012.wav,0,0.925482988357544
pair_0026,id10324,id10324,tXzPMAyLHcY,jx1tdxlQpB0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10324\tXzPMAyLHcY\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10324\jx1tdxlQpB0\00003.wav,1,0.945652961730957
pair_0027,id11100,id11100,6Lv08Mbm1q0,xs7wQ9wxtZ0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11100\6Lv08Mbm1q0\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11100\xs7wQ9wxtZ0\00003.wav,1,0.9251919984817505
pair_0028,id10583,id10583,Worxr8OXuQI,SvGvgDL-Hp4,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\Worxr8OXuQI\00004.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\SvGvgDL-Hp4\00001.wav,1,0.9410054683685303
pair_0029,id10519,id10519,HIrty1rVnpU,SnKuOWc19zE,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10519\HIrty1rVnpU\00007.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10519\SnKuOWc19zE\00003.wav,1,0.9671827554702759
pair_0030,id10003,id10003,EGPV-Xa0LGk,na8-QEFmj44,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\EGPV-Xa0LGk\00006.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\na8-QEFmj44\00002.wav,1,0.9527576565742493
pair_0031,id10912,id11071,Yf93Q8L4xhs,36u5VgHBlwI,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\Yf93Q8L4xhs\00010.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11071\36u5VgHBlwI\00005.wav,0,0.8346138000488281
pair_0032,id11130,id11130,tXutBWbk5Mw,ajiJfJowUIA,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\tXutBWbk5Mw\00006.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\ajiJfJowUIA\00018.wav,1,0.9375578165054321
pair_0033,id10941,id10941,hvzO6M10nMM,jUlh_hw2Mt0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\hvzO6M10nMM\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\jUlh_hw2Mt0\00011.wav,1,0.9741123914718628
pair_0034,id11071,id10852,36u5VgHBlwI,3VjC4mp7ZZM,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11071\36u5VgHBlwI\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10852\3VjC4mp7ZZM\00001.wav,0,0.84883052110672
pair_0035,id11136,id11136,JrfsarsjqF4,lgn4MoVWAd0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\JrfsarsjqF4\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\lgn4MoVWAd0\00002.wav,1,0.9505460262298584
pair_0036,id10941,id11130,hvzO6M10nMM,RNKUA8EGl20,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\hvzO6M10nMM\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\RNKUA8EGl20\00010.wav,0,0.8784763216972351
pair_0037,id10724,id10724,DP5gCFoWgGI,kHSikgTOz70,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\DP5gCFoWgGI\00007.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\kHSikgTOz70\00005.wav,1,0.9250866770744324
pair_0038,id10045,id10002,3-l99GdyRaQ,QanuGhOhb9A,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10045\3-l99GdyRaQ\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10002\QanuGhOhb9A\00020.wav,0,0.9390860795974731
pair_0039,id10943,id10943,Ww-kQ21VPmU,cXoCSD3k-8g,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10943\Ww-kQ21VPmU\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10943\cXoCSD3k-8g\00001.wav,1,0.952901303768158
pair_0040,id10852,id10852,QCbljH_QH9M,g5hgDbVpBQY,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10852\QCbljH_QH9M\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10852\g5hgDbVpBQY\00004.wav,1,0.9738101959228516
pair_0041,id10017,id10017,6ya9UpdRCPs,xH3Pp_5yxOk,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\6ya9UpdRCPs\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\xH3Pp_5yxOk\00018.wav,1,0.9662561416625977
pair_0042,id11090,id10393,KbG9oyzustA,DMBVJM39ybM,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11090\KbG9oyzustA\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\DMBVJM39ybM\00005.wav,0,0.9113755226135254
pair_0043,id10002,id10002,VMaXdHLz5Bk,TqUbiOgEb0w,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10002\VMaXdHLz5Bk\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10002\TqUbiOgEb0w\00003.wav,1,0.9754619598388672
pair_0044,id10324,id10941,1BN1Twr0pDM,b8G3qvQqc18,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10324\1BN1Twr0pDM\00003.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\b8G3qvQqc18\00014.wav,0,0.9346714615821838
pair_0045,id10393,id11071,pxNluJ_THJg,_ya6DGo23lw,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\pxNluJ_THJg\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11071\_ya6DGo23lw\00001.wav,0,0.9071502089500427
pair_0046,id11089,id10583,8mrFVU7BCZc,BceLH6tkbH0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11089\8mrFVU7BCZc\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\BceLH6tkbH0\00012.wav,0,0.9351317882537842
pair_0047,id10955,id10955,K38Ya_Sag_g,wizyOKQhEgY,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10955\K38Ya_Sag_g\00014.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10955\wizyOKQhEgY\00001.wav,1,0.9562028646469116
pair_0048,id10941,id10941,uRsJ_f3kSWs,h3QX4ZHdyWI,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\uRsJ_f3kSWs\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\h3QX4ZHdyWI\00001.wav,1,0.9393049478530884
pair_0049,id11130,id11136,HJnzTUM9G8E,FNJVgXnZNXM,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\HJnzTUM9G8E\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\FNJVgXnZNXM\00002.wav,0,0.9165753126144409
pair_0050,id11130,id10018,yY2yv2W4ZLk,9tu4uaM0YTc,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\yY2yv2W4ZLk\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\9tu4uaM0YTc\00004.wav,0,0.871103823184967
pair_0051,id10003,id10724,BQxxhq4539A,YsVDo2AO_X0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\BQxxhq4539A\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\YsVDo2AO_X0\00001.wav,0,0.9134934544563293
pair_0052,id10583,id10045,R3iDRYV7SpU,6jj7z7rt_9E,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\R3iDRYV7SpU\00004.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10045\6jj7z7rt_9E\00003.wav,0,0.8867674469947815
pair_0053,id10901,id11089,w9Fy-RId6QI,c4dLwcifQaQ,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10901\w9Fy-RId6QI\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11089\c4dLwcifQaQ\00003.wav,0,0.8778365254402161
pair_0054,id10724,id10724,e-vuV1-N97Q,6tFEkfsIeXk,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\e-vuV1-N97Q\00004.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\6tFEkfsIeXk\00005.wav,1,0.9199320673942566
pair_0055,id10583,id10943,p7FgxxM6Aw8,khscBlibcsE,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\p7FgxxM6Aw8\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10943\khscBlibcsE\00001.wav,0,0.9463828802108765
pair_0056,id10017,id11130,pOJlOI5cDZw,o-hOCXnEFGc,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\pOJlOI5cDZw\00003.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\o-hOCXnEFGc\00001.wav,0,0.8829069137573242
pair_0057,id10583,id10003,05gr63nmJS8,BQxxhq4539A,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\05gr63nmJS8\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\BQxxhq4539A\00009.wav,0,0.8805022239685059
pair_0058,id10018,id11209,sci80gk6bUc,3qwnVyBxGrA,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\sci80gk6bUc\00018.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\3qwnVyBxGrA\00010.wav,0,0.8835912942886353
pair_0059,id10943,id11130,C7tJHiv3hfk,kYJi779BvMU,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10943\C7tJHiv3hfk\00031.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\kYJi779BvMU\00002.wav,0,0.8833886981010437
pair_0060,id11071,id10002,664Gj2trZv8,C7k7C-PDvAA,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11071\664Gj2trZv8\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10002\C7k7C-PDvAA\00001.wav,0,0.9062129259109497
pair_0061,id11100,id11100,QmihWZJn-a4,4p9Zq781kZ0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11100\QmihWZJn-a4\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11100\4p9Zq781kZ0\00004.wav,1,0.9614276885986328
pair_0062,id11136,id11136,FNJVgXnZNXM,7_Gb0VYQV3s,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\FNJVgXnZNXM\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\7_Gb0VYQV3s\00002.wav,1,0.9440575242042542
pair_0063,id11136,id10018,lgn4MoVWAd0,2fsToHH2Qz4,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\lgn4MoVWAd0\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\2fsToHH2Qz4\00002.wav,0,0.8943268060684204
pair_0064,id10912,id10018,NBh6Y-hphmo,BaesL7QJLFU,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\NBh6Y-hphmo\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\BaesL7QJLFU\00020.wav,0,0.885628879070282
pair_0065,id10583,id10583,ncajg8Tki3M,WuZqoSEQKOE,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\ncajg8Tki3M\00017.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\WuZqoSEQKOE\00001.wav,1,0.9233641624450684
pair_0066,id10003,id11209,BQxxhq4539A,2AOADh6xpEQ,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\BQxxhq4539A\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\2AOADh6xpEQ\00010.wav,0,0.9148699641227722
pair_0067,id10393,id10943,kLnCqvMY1uE,diAboXwOsog,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\kLnCqvMY1uE\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10943\diAboXwOsog\00015.wav,0,0.8664947748184204
pair_0068,id10002,id10943,cMGEuZ1zqXk,4DSO60d5IcA,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10002\cMGEuZ1zqXk\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10943\4DSO60d5IcA\00005.wav,0,0.8781274557113647
pair_0069,id10393,id10724,DMBVJM39ybM,6tFEkfsIeXk,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\DMBVJM39ybM\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\6tFEkfsIeXk\00005.wav,0,0.8557568192481995
pair_0070,id10519,id10519,Y4v2TquzJno,heXFODtJUcs,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10519\Y4v2TquzJno\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10519\heXFODtJUcs\00001.wav,1,0.9524730443954468
pair_0071,id10724,id11090,xS_Mh-DOAI0,slMZNCBiTYg,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\xS_Mh-DOAI0\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11090\slMZNCBiTYg\00020.wav,0,0.8814737796783447
pair_0072,id11071,id10941,wuU__GdjnJE,n7_p5G5jcOA,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11071\wuU__GdjnJE\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\n7_p5G5jcOA\00016.wav,0,0.8689570426940918
pair_0073,id10045,id10045,hz5NFR5M6Uc,6jj7z7rt_9E,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10045\hz5NFR5M6Uc\00007.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10045\6jj7z7rt_9E\00005.wav,1,0.9422548413276672
pair_0074,id11130,id10017,h9TIhS400ow,xLakEK2bbQw,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\h9TIhS400ow\00006.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\xLakEK2bbQw\00003.wav,0,0.8964549899101257
pair_0075,id10017,id10017,CYb_opUpiw4,pOJlOI5cDZw,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\CYb_opUpiw4\00027.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\pOJlOI5cDZw\00001.wav,1,0.9536132216453552
pair_0076,id11209,id10852,hjOIPi_7e90,jZLH__45hVM,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\hjOIPi_7e90\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10852\jZLH__45hVM\00013.wav,0,0.8967103362083435
pair_0077,id10955,id10583,5_OEnogeris,AfPv4Jhk2NQ,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10955\5_OEnogeris\00006.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\AfPv4Jhk2NQ\00004.wav,0,0.8626769185066223
pair_0078,id11071,id11071,5-veoCefJfQ,wNYXJR8Fvow,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11071\5-veoCefJfQ\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11071\wNYXJR8Fvow\00002.wav,1,0.9687010049819946
pair_0079,id10017,id10324,6ya9UpdRCPs,Q7_tcoLIaMk,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\6ya9UpdRCPs\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10324\Q7_tcoLIaMk\00002.wav,0,0.8656519651412964
pair_0080,id10724,id10324,kHSikgTOz70,ZHxrVEoB67Q,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10724\kHSikgTOz70\00009.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10324\ZHxrVEoB67Q\00003.wav,0,0.941344141960144
pair_0081,id10018,id10018,RM55SnIw2uQ,RBlk-zGCm0g,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\RM55SnIw2uQ\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10018\RBlk-zGCm0g\00001.wav,1,0.9655978679656982
pair_0082,id10324,id10324,K_lzm3-49Ok,1BN1Twr0pDM,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10324\K_lzm3-49Ok\00006.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10324\1BN1Twr0pDM\00003.wav,1,0.9794952273368835
pair_0083,id10912,id10003,bElYKEyoH74,E_6MjfYr0sQ,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\bElYKEyoH74\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\E_6MjfYr0sQ\00025.wav,0,0.8679022192955017
pair_0084,id10393,id10393,w3GPw1Kk2yQ,W6T8eysxkzU,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\w3GPw1Kk2yQ\00006.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\W6T8eysxkzU\00001.wav,1,0.9594254493713379
pair_0085,id10955,id10955,ZPKk8F8UrSw,mSZIgst6Hvs,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10955\ZPKk8F8UrSw\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10955\mSZIgst6Hvs\00001.wav,1,0.9757383465766907
pair_0086,id10002,id11130,Mpr9wqUuLQA,Irh4nKsPGwg,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10002\Mpr9wqUuLQA\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\Irh4nKsPGwg\00002.wav,0,0.9110172986984253
pair_0087,id11090,id11090,KbG9oyzustA,EGVcQhK3b5o,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11090\KbG9oyzustA\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11090\EGVcQhK3b5o\00051.wav,1,0.9564302563667297
pair_0088,id10901,id10901,CiHSe4JYKyY,w9Fy-RId6QI,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10901\CiHSe4JYKyY\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10901\w9Fy-RId6QI\00001.wav,1,0.9502625465393066
pair_0089,id10583,id10943,ncajg8Tki3M,4DSO60d5IcA,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\ncajg8Tki3M\00029.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10943\4DSO60d5IcA\00005.wav,0,0.9392980337142944
pair_0090,id10045,id11130,IxEPwr6ds8w,jfW15QZTx9k,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10045\IxEPwr6ds8w\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11130\jfW15QZTx9k\00001.wav,0,0.8857851624488831
pair_0091,id11209,id11209,bvSYpZd_xg8,W2a_1qzq_VE,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\bvSYpZd_xg8\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\W2a_1qzq_VE\00008.wav,1,0.9340386986732483
